tax_name,tax_rank,count,count_norm,taxon,parent
Bacteroidales,order,34648,423233,171549,200643
Rikenellaceae,family,5738,70091,171550,171549
Porphyromonadaceae,family,928,11335,171551,171549
Prevotellaceae,family,1278,15611,171552,171549
Varibaculum,genus,6,73,184869,2049
Clostridia,class,23203,283430,186801,1239
Clostridiales,order,23203,283430,186802,186801
Lachnospiraceae,family,11469,140096,186803,186802
Peptostreptococcaceae,family,909,11103,186804,186802
Peptococcaceae,family,2,24,186807,186802
unclassified Clostridiales,no_rank,474,5790,186813,186802
Bacillaceae,family,6,73,186817,1385
Planococcaceae,family,9,109,186818,1385
Lactobacillales,order,1133,13839,186826,91061
Carnobacteriaceae,family,5,61,186828,186826
Dorea,genus,513,6266,189330,186803
Desulfovibrionaceae,family,323,3945,194924,213115
Bacteroidia,class,34648,423233,200643,976
Flavobacteriales,order,92,1123,200644,117743
Actinobacteria,phylum,1496,18273,201174,2
Fusobacteriia,class,40,488,203490,32066
Fusobacteriales,order,40,488,203491,203490
Fusobacteriaceae,family,40,488,203492,203491
Verrucomicrobiae,class,6435,78605,203494,74201
Verrucomicrobiaceae,family,6435,78605,203557,48461
Anaerostipes,genus,360,4397,207244,186803
Desulfovibrionales,order,325,3969,213115,28221
Campylobacterales,order,125,1526,213849,29547
Subdoligranulum variabile,species,1281,15647,214851,292632
Alistipes finegoldii,species,4841,59133,214856,239759
Oscillospiraceae,family,321,3921,216572,186802
Bifidobacterium longum,species,14,171,216816,1678
Faecalibacterium,genus,4626,56507,216851,541000
Alistipes,genus,5730,69993,239759,171550
Akkermansia,genus,6418,78397,239934,203557
Anaerotruncus,genus,484,5912,244127,541000
Marvinbryantia,genus,2,24,248744,186803
Coriobacterineae,suborder,1403,17137,255727,84999
Anaerosporobacter mobilis,species,30,366,264463,653683
Oribacterium,genus,4,48,265975,186803
Catabacter,genus,2,24,270497,424536
Catabacter hongkongensis,species,2,24,270498,270497
Porphyromonas uenonis,species,27,329,281920,836
Subdoligranulum,genus,1494,18249,292632,541000
Flavonifractor plautii,species,35,427,292800,946234
Roseburia faecis,species,1504,18371,301302,841
Dialister propionicifaciens,species,20,244,308994,39948
Alistipes onderdonkii,species,12,146,328813,239759
Alistipes shahii,species,422,5154,328814,239759
Bacteroides intestinalis,species,45,549,329854,816
Bacteroides finegoldii,species,15,183,338188,816
Lactonifactor longoviformis,species,5,61,341220,420345
Enterobacter cloacae complex,species_group,10,122,354276,547
Bacteroides dorei,species,18768,229255,357276,816
Peptoniphilus sp. gpac018A,species,19,232,361493,162289
Parabacteroides,genus,885,10810,375288,171551
Prevotella timonensis,species,22,268,386414,838
Cronobacter,genus,75,916,413496,543
Cronobacter dublinensis,species,33,403,413497,413496
Cronobacter turicensis,species,31,378,413502,413496
Streptococcus sp. 11aTha1,species,6,73,417906,1301
Blautia wexlerae,species,2539,31014,418240,572511
Lactonifactor,genus,20,244,420345,31979
Catabacteriaceae,family,2,24,424536,186802
Moryella,genus,160,1954,437755,186803
Adlercreutzia equolifaciens,species,50,610,446660,447020
Adlercreutzia,genus,50,610,447020,84107
Alistipes sp. EBA6-25cl2,species,12,146,447027,239759
Bacteroides sp. EBA5-17,species,139,1697,447029,816
Oscillibacter,genus,317,3872,459786,216572
Gordonibacter pamelaeae,species,10,122,471189,644652
Alistipes sp. NML05A004,species,263,3212,478202,239759
Parasutterella excrementihominis,species,1031,12593,487175,577310
Porphyromonas bennonis,species,16,195,501496,836
Synergistetes,phylum,952,11628,508458,2
Erysipelotrichia,class,149,1820,526524,1239
Erysipelotrichales,order,149,1820,526525,526524
Blautia glucerasea,species,18,219,536633,572511
Clostridiales incertae sedis,no_rank,188,2296,538999,186802
Ruminococcaceae,family,7838,95742,541000,186802
Clostridiales Family XI. Incertae Sedis,family,149,1820,543310,538999
Clostridiales Family XIII. Incertae Sedis,family,33,403,543314,538999
Pantoea sp. CWB304,species,7,85,543533,53335
Blautia,genus,5077,62016,572511,186803
Parabacteroides gordonii,species,230,2809,574930,375288
Parasutterella,genus,1088,13290,577310,995019
Bacteroides sp. D20,species,5,61,585543,816
Hydrogenoanaerobacterium,genus,5,61,596767,541000
Alistipes indistinctus,species,58,708,626932,239759
Pyramidobacter,genus,952,11628,638847,649777
Pyramidobacter piscolens,species,947,11567,638849,638847
Gordonibacter,genus,10,122,644652,84107
Synergistia,class,952,11628,649775,508458
Synergistales,order,952,11628,649776,649775
Synergistaceae,family,952,11628,649777,649776
Anaerosporobacter,genus,30,366,653683,31979
Lactobacillus casei group,species_group,6,73,655183,1578
Blautia sp. Ser8,species,6,73,689777,572511
Blautia faecis,species,388,4739,871665,572511
Peptoniphilus sp. 1-14,species,21,256,875455,162289
Selenomonadales,order,949,11592,909929,909932
Acidaminococcaceae,family,857,10468,909930,909929
Negativicutes,class,949,11592,909932,1239
Veillonella sp. CM60,species,47,574,936384,29465
Fusobacterium sp. ACB2,species,33,403,936559,848
Flavonifractor,genus,184,2247,946234,186813
Sutterellaceae,family,1088,13290,995019,80840
Anaerostipes sp. 5_1_63FAA,species,243,2968,999930,207244
Pseudoflavonifractor,genus,4,48,1017280,186813
Fusicatenibacter saccharivorans,species,1594,19471,1150298,1407607
Faecalibacterium sp. canine oral taxon 147,species,672,8208,1151492,216851
Blautia sp. YHC-4,species,55,671,1157314,572511
Varibaculum sp. CCUG 45114,species,6,73,1177731,184869
Atopobium sp. MVA9,species,4,48,1219586,1380
Prevotella sp. S4-10,species,814,9943,1219628,838
Streptococcus sp. 2011_Oral_MS_A3,species,149,1820,1244424,1301
Intestinimonas butyriciproducens,species,64,781,1297617,1392389
Peptoniphilus sp. S9 PR-13,species,9,109,1344339,162289
Bacteroides sp. J1511,species,5,61,1365140,816
Intestinimonas,genus,69,842,1392389,186813
Fusicatenibacter,genus,1778,21718,1407607,186803
Eisenbergiella,genus,177,2162,1432051,186803
Eisenbergiella tayi,species,175,2137,1432052,1432051
Candidatus Stoquefichus,genus,46,561,1470349,128827
Candidatus Soleaferrea,genus,7,85,1470353,541000
Dielma,genus,2,24,1472649,128827
Peptoclostridium,genus,168,2052,1481960,186804
Romboutsia,genus,12,146,1501226,186804
Terrisporobacter,genus,592,7231,1505652,186804
Intestinibacter,genus,69,842,1505657,186804
Erysipelatoclostridium,genus,81,989,1505663,128827
